。 : 。 0 | 、 1 | 的 2 | 国 3 | ， 4 | 一 5 | 在 6 | 中 7 | 人 8 | 了 9 | 
藉 : 帧 0 | 吏 1 | 皎 2 | 娶 3 | 咀 4 | 冗 5 | 蘑 6 | 鸥 7 | 憧 8 | 咕 9 | 

弧 : 冗 0 | 鸥 1 | 娶 2 | 咕 3 | 吏 4 | 矫 5 | 帧 6 | 拴 7 | 皎 8 | 刨 9 | 

钰 : 矫 0 | 拴 1 | 咕 2 | 刨 3 | 鸥 4 | 爪 5 | 冗 6 | 恬 7 | 娶 8 | 喃 9 | 

痰 : 爪 0 | 恬 1 | 刨 2 | 喃 3 | 拴 4 | 侍 5 | 矫 6 | 惦 7 | 咕 8 | 畸 9 | 

惋 : 侍 0 | 惦 1 | 喃 2 | 畸 3 | 恬 4 | 巅 5 | 爪 6 | 雍 7 | 刨 8 | 褒 9 | 

婷 : 巅 0 | 雍 1 | 畸 2 | 褒 3 | 惦 4 | 腥 5 | 侍 6 | 梢 7 | 喃 8 | 熠 9 | 

霆 : 腥 0 | 梢 1 | 褒 2 | 熠 3 | 雍 4 | 娓 5 | 巅 6 | 骥 7 | 畸 8 | 骸 9 | 

峥 : 娓 0 | 骥 1 | 熠 2 | 骸 3 | 梢 4 | 嚷 5 | 腥 6 | 骋 7 | 褒 8 | 泞 9 | 

萤 : 嚷 0 | 骋 1 | 骸 2 | 泞 3 | 骥 4 | 肘 5 | 娓 6 | 疤 7 | 熠 8 | 抨 9 | 

醋 : 肘 0 | 疤 1 | 泞 2 | 抨 3 | 骋 4 | 鹊 5 | 嚷 6 | 瑛 7 | 骸 8 | 檐 9 | 

榨 : 鹊 0 | 瑛 1 | 抨 2 | 檐 3 | 疤 4 | 侥 5 | 肘 6 | 缭 7 | 泞 8 | 猿 9 | 

澎 : 侥 0 | 缭 1 | 檐 2 | 猿 3 | 瑛 4 | 岐 5 | 鹊 6 | 谬 7 | 抨 8 | 酵 9 | 

锲 : 岐 0 | 谬 1 | 猿 2 | 酵 3 | 缭 4 | ③ 5 | 侥 6 | 匀 7 | 檐 8 | 倩 9 | 

倚 : ③ 0 | 匀 1 | 酵 2 | 倩 3 | 谬 4 | 檀 5 | 岐 6 | 侗 7 | 猿 8 | 哮 9 | 

溅 : 檀 0 | 侗 1 | 倩 2 | 哮 3 | 匀 4 | 臃 5 | ③ 6 | 迂 7 | 酵 8 | 皑 9 | 

臧 : 臃 0 | 迂 1 | 哮 2 | 皑 3 | 侗 4 | 衅 5 | 檀 6 | 敛 7 | 倩 8 | 麋 9 | 

玫 : 衅 0 | 敛 1 | 皑 2 | 麋 3 | 迂 4 | 毓 5 | 臃 6 | 囿 7 | 哮 8 | 陲 9 | 

蛀 : 毓 0 | 囿 1 | 麋 2 | 陲 3 | 敛 4 | 虔 5 | 衅 6 | 廓 7 | 皑 8 | 霓 9 | 

槌 : 虔 0 | 廓 1 | 陲 2 | 霓 3 | 囿 4 | 绊 5 | 毓 6 | 垣 7 | 麋 8 | 窥 9 | 

侍 : 绊 0 | 垣 1 | 霓 2 | 窥 3 | 廓 4 | 庵 5 | 虔 6 | 梓 7 | 陲 8 | 拎 9 | 

贻 : 庵 0 | 梓 1 | 窥 2 | 拎 3 | 垣 4 | 蝎 5 | 绊 6 | 啼 7 | 霓 8 | 泓 9 | 

藁 : 蝎 0 | 啼 1 | 拎 2 | 泓 3 | 梓 4 | 胧 5 | 庵 6 | 朦 7 | 窥 8 | 碾 9 | 

徜 : 胧 0 | 朦 1 | 泓 2 | 碾 3 | 啼 4 | 曳 5 | 蝎 6 | 篡 7 | 拎 8 | 陀 9 | 

掰 : 曳 0 | 篡 1 | 碾 2 | 陀 3 | 朦 4 | 袜 5 | 胧 6 | 愣 7 | 泓 8 | 沅 9 | 

诙 : 袜 0 | 愣 1 | 陀 2 | 沅 3 | 篡 4 | 侣 5 | 曳 6 | 殉 7 | 碾 8 | 锌 9 | 

泸 : 侣 0 | 殉 1 | 沅 2 | 锌 3 | 愣 4 | 饪 5 | 袜 6 | 槛 7 | 陀 8 | 婿 9 | 

啪 : 饪 0 | 槛 1 | 锌 2 | 婿 3 | 殉 4 | 咎 5 | 侣 6 | 谎 7 | 沅 8 | 擀 9 | 

③ : 咎 0 | 谎 1 | 婿 2 | 擀 3 | 槛 4 | 伺 5 | 饪 6 | 屁 7 | 锌 8 | 粟 9 | 

拎 : 伺 0 | 屁 1 | 擀 2 | 粟 3 | 谎 4 | 鲸 5 | 咎 6 | 窍 7 | 婿 8 | 柄 9 | 

矫 : 鲸 0 | 窍 1 | 粟 2 | 柄 3 | 屁 4 | 酶 5 | 伺 6 | 邃 7 | 擀 8 | 薇 9 | 

瞪 : 酶 0 | 邃 1 | 柄 2 | 薇 3 | 窍 4 | 睫 5 | 鲸 6 | 酥 7 | 粟 8 | 挟 9 | 

祁 : 睫 0 | 酥 1 | 薇 2 | 挟 3 | 邃 4 | 摹 5 | 酶 6 | 禺 7 | 柄 8 | 孰 9 | 

揪 : 摹 0 | 禺 1 | 挟 2 | 孰 3 | 酥 4 | 拮 5 | 睫 6 | 煎 7 | 薇 8 | 铉 9 | 

挟 : 拮 0 | 煎 1 | 孰 2 | 铉 3 | 禺 4 | 勺 5 | 摹 6 | 扁 7 | 挟 8 | 磕 9 | 

嵘 : 勺 0 | 扁 1 | 铉 2 | 磕 3 | 煎 4 | 瞎 5 | 拮 6 | 酌 7 | 孰 8 | 恕 9 | 

狡 : 瞎 0 | 酌 1 | 磕 2 | 恕 3 | 扁 4 | 瞰 5 | 勺 6 | 寐 7 | 铉 8 | 舅 9 | 

虔 : 瞰 0 | 寐 1 | 恕 2 | 舅 3 | 酌 4 | 谧 5 | 瞎 6 | 橙 7 | 磕 8 | 阂 9 | 

辗 : 谧 0 | 橙 1 | 舅 2 | 阂 3 | 寐 4 | 晾 5 | 瞰 6 | 莘 7 | 恕 8 | 摞 9 | 

陨 : 晾 0 | 莘 1 | 阂 2 | 摞 3 | 橙 4 | 伫 5 | 谧 6 | 瀛 7 | 舅 8 | 萦 9 | 

嘘 : 伫 0 | 瀛 1 | 摞 2 | 萦 3 | 莘 4 | 茧 5 | 晾 6 | 琉 7 | 阂 8 | 樟 9 | 

舅 : 茧 0 | 琉 1 | 萦 2 | 樟 3 | 瀛 4 | 稠 5 | 伫 6 | 泾 7 | 摞 8 | 湃 9 | 

燮 : 稠 0 | 泾 1 | 樟 2 | 湃 3 | 琉 4 | 郅 5 | 茧 6 | 炫 7 | 萦 8 | 偌 9 | 

兀 : 郅 0 | 炫 1 | 湃 2 | 偌 3 | 泾 4 | 搀 5 | 稠 6 | 靳 7 | 樟 8 | 酣 9 | 

廓 : 搀 0 | 靳 1 | 偌 2 | 酣 3 | 炫 4 | 炙 5 | 郅 6 | 诙 7 | 湃 8 | 雹 9 | 

穹 : 炙 0 | 诙 1 | 酣 2 | 雹 3 | 靳 4 | 痰 5 | 搀 6 | 戍 7 | 偌 8 | 噩 9 | 

馒 : 痰 0 | 戍 1 | 雹 2 | 噩 3 | 诙 4 | 宕 5 | 炙 6 | 伽 7 | 酣 8 | 湍 9 | 

诽 : 宕 0 | 伽 1 | 噩 2 | 湍 3 | 戍 4 | 窦 5 | 痰 6 | 糙 7 | 雹 8 | 诿 9 | 

辫 : 窦 0 | 糙 1 | 湍 2 | 诿 3 | 伽 4 | 雌 5 | 宕 6 | 悍 7 | 噩 8 | 驹 9 | 

轶 : 雌 0 | 悍 1 | 诿 2 | 驹 3 | 糙 4 | 弈 5 | 窦 6 | 蔗 7 | 湍 8 | 嗜 9 | 

芋 : 弈 0 | 蔗 1 | 驹 2 | 嗜 3 | 悍 4 | 阪 5 | 雌 6 | 袒 7 | 诿 8 | 瞪 9 | 

哮 : 阪 0 | 袒 1 | 嗜 2 | 瞪 3 | 蔗 4 | 沱 5 | 弈 6 | 蔼 7 | 驹 8 | 铨 9 | 

谤 : 沱 0 | 蔼 1 | 瞪 2 | 铨 3 | 袒 4 | 拧 5 | 阪 6 | 柚 7 | 嗜 8 | 陇 9 | 

岌 : 拧 0 | 柚 1 | 铨 2 | 陇 3 | 蔼 4 | 翌 5 | 沱 6 | 芙 7 | 瞪 8 | 飙 9 | 

骋 : 翌 0 | 芙 1 | 陇 2 | 飙 3 | 柚 4 | 撂 5 | 拧 6 | 缜 7 | 铨 8 | 榴 9 | 

粱 : 撂 0 | 缜 1 | 飙 2 | 榴 3 | 芙 4 | 鏖 5 | 翌 6 | 揉 7 | 陇 8 | 弧 9 | 

驹 : 鏖 0 | 揉 1 | 榴 2 | 弧 3 | 缜 4 | 谍 5 | 撂 6 | 叩 7 | 飙 8 | 趴 9 | 

拄 : 谍 0 | 叩 1 | 弧 2 | 趴 3 | 揉 4 | 涿 5 | 鏖 6 | 烙 7 | 榴 8 | 殆 9 | 

炙 : 涿 0 | 烙 1 | 趴 2 | 殆 3 | 叩 4 | 黯 5 | 谍 6 | 洱 7 | 弧 8 | 憩 9 | 

撮 : 黯 0 | 洱 1 | 殆 2 | 憩 3 | 烙 4 | 赡 5 | 涿 6 | 瘟 7 | 趴 8 | 姬 9 | 

眶 : 赡 0 | 瘟 1 | 憩 2 | 姬 3 | 洱 4 | 璧 5 | 黯 6 | 汩 7 | 殆 8 | 逞 9 | 

栩 : 璧 0 | 汩 1 | 姬 2 | 逞 3 | 瘟 4 | 咆 5 | 赡 6 | 濡 7 | 憩 8 | 笨 9 | 

恬 : 咆 0 | 濡 1 | 逞 2 | 笨 3 | 汩 4 | 膛 5 | 璧 6 | 墒 7 | 姬 8 | 驯 9 | 

袤 : 膛 0 | 墒 1 | 笨 2 | 驯 3 | 濡 4 | 霏 5 | 咆 6 | 擎 7 | 逞 8 | 擒 9 | 

妖 : 霏 0 | 擎 1 | 驯 2 | 擒 3 | 墒 4 | 棱 5 | 膛 6 | 殃 7 | 笨 8 | 毙 9 | 

蓦 : 棱 0 | 殃 1 | 擒 2 | 毙 3 | 擎 4 | 铀 5 | 霏 6 | 钾 7 | 驯 8 | 煦 9 | 

琶 : 铀 0 | 钾 1 | 毙 2 | 煦 3 | 殃 4 | 舫 5 | 棱 6 | 蜚 7 | 擒 8 | 瓢 9 | 

媲 : 舫 0 | 蜚 1 | 煦 2 | 瓢 3 | 钾 4 | 姊 5 | 铀 6 | 垠 7 | 毙 8 | 岌 9 | 

褥 : 姊 0 | 垠 1 | 瓢 2 | 岌 3 | 蜚 4 | 醋 5 | 舫 6 | 谙 7 | 煦 8 | 驴 9 | 

‰ : 醋 0 | 谙 1 | 岌 2 | 驴 3 | 垠 4 | 莺 5 | 姊 6 | 璋 7 | 瓢 8 | 颅 9 | 

瓣 : 莺 0 | 璋 1 | 驴 2 | 颅 3 | 谙 4 | 砺 5 | 醋 6 | 犷 7 | 岌 8 | 铱 9 | 

蚌 : 砺 0 | 犷 1 | 颅 2 | 铱 3 | 璋 4 | 涣 5 | 莺 6 | 郴 7 | 驴 8 | 馓 9 | 

膛 : 涣 0 | 郴 1 | 铱 2 | 馓 3 | 犷 4 | 垛 5 | 砺 6 | 瑙 7 | 颅 8 | 纶 9 | 

淇 : 垛 0 | 瑙 1 | 馓 2 | 纶 3 | 郴 4 | 闺 5 | 涣 6 | 诬 7 | 铱 8 | 疚 9 | 

濮 : 闺 0 | 诬 1 | 纶 2 | 疚 3 | 瑙 4 | 吆 5 | 垛 6 | 诣 7 | 馓 8 | 茁 9 | 

屎 : 吆 0 | 诣 1 | 疚 2 | 茁 3 | 诬 4 | 沮 5 | 闺 6 | 缨 7 | 纶 8 | 拄 9 | 

荤 : 沮 0 | 缨 1 | 茁 2 | 拄 3 | 诣 4 | 榭 5 | 吆 6 | 埂 7 | 疚 8 | 婺 9 | 

逍 : 榭 0 | 埂 1 | 拄 2 | 婺 3 | 缨 4 | 羔 5 | 沮 6 | 秭 7 | 茁 8 | 骇 9 | 

糯 : 羔 0 | 秭 1 | 婺 2 | 骇 3 | 埂 4 | 拇 5 | 榭 6 | 臧 7 | 拄 8 | 牦 9 | 

钛 : 拇 0 | 臧 1 | 骇 2 | 牦 3 | 秭 4 | 迸 5 | 羔 6 | 袤 7 | 婺 8 | 馁 9 | 

贱 : 迸 0 | 袤 1 | 牦 2 | 馁 3 | 臧 4 | 粽 5 | 拇 6 | 叨 7 | 骇 8 | 捅 9 | 

釜 : 粽 0 | 叨 1 | 馁 2 | 捅 3 | 袤 4 | 涟 5 | 迸 6 | 斟 7 | 牦 8 | 坂 9 | 

谆 : 涟 0 | 斟 1 | 捅 2 | 坂 3 | 叨 4 | 肪 5 | 粽 6 | 绮 7 | 馁 8 | 砀 9 | 

亢 : 肪 0 | 绮 1 | 坂 2 | 砀 3 | 斟 4 | 釉 5 | 涟 6 | 瞿 7 | 捅 8 | 芮 9 | 

跚 : 釉 0 | 瞿 1 | 砀 2 | 芮 3 | 绮 4 | 磐 5 | 肪 6 | 袅 7 | 坂 8 | 〔 9 | 

毡 : 磐 0 | 袅 1 | 芮 2 | 〔 3 | 瞿 4 | 札 5 | 釉 6 | 凹 7 | 砀 8 | 咫 9 | 

殃 : 札 0 | 凹 1 | 〔 2 | 咫 3 | 袅 4 | 瘩 5 | 磐 6 | 〕 7 | 芮 8 | 隅 9 | 

钎 : 瘩 0 | 〕 1 | 咫 2 | 隅 3 | 凹 4 | 冥 5 | 札 6 | 驮 7 | 〔 8 | 兖 9 | 

赊 : 冥 0 | 驮 1 | 隅 2 | 兖 3 | 〕 4 | 酮 5 | 瘩 6 | 煜 7 | 咫 8 | 笃 9 | 

茧 : 酮 0 | 煜 1 | 兖 2 | 笃 3 | 驮 4 | 馋 5 | 冥 6 | 饵 7 | 隅 8 | 绯 9 | 

兮 : 馋 0 | 饵 1 | 笃 2 | 绯 3 | 煜 4 | 汀 5 | 酮 6 | 瞅 7 | 兖 8 | 睿 9 | 

烨 : 汀 0 | 瞅 1 | 绯 2 | 睿 3 | 饵 4 | 嘹 5 | 馋 6 | 镰 7 | 笃 8 | 溺 9 | 

酥 : 嘹 0 | 镰 1 | 睿 2 | 溺 3 | 瞅 4 | 爹 5 | 汀 6 | 粱 7 | 绯 8 | 哦 9 | 

祠 : 爹 0 | 粱 1 | 溺 2 | 哦 3 | 镰 4 | 抠 5 | 嘹 6 | 戳 7 | 睿 8 | 萋 9 | 

窿 : 抠 0 | 戳 1 | 哦 2 | 萋 3 | 粱 4 | 钵 5 | 爹 6 | 楹 7 | 溺 8 | 殚 9 | 

擎 : 钵 0 | 楹 1 | 萋 2 | 殚 3 | 戳 4 | 腌 5 | 抠 6 | 馅 7 | 哦 8 | 绅 9 | 

蜕 : 腌 0 | 馅 1 | 殚 2 | 绅 3 | 楹 4 | 桨 5 | 钵 6 | 臆 7 | 萋 8 | 梵 9 | 

帧 : 桨 0 | 臆 1 | 绅 2 | 梵 3 | 馅 4 | 褪 5 | 腌 6 | 疙 7 | 殚 8 | 怯 9 | 

噜 : 褪 0 | 疙 1 | 梵 2 | 怯 3 | 臆 4 | 筱 5 | 桨 6 | 绷 7 | 绅 8 | 蕊 9 | 

丞 : 筱 0 | 绷 1 | 怯 2 | 蕊 3 | 疙 4 | 蝗 5 | 褪 6 | 犊 7 | 梵 8 | 铿 9 | 

咆 : 蝗 0 | 犊 1 | 蕊 2 | 铿 3 | 绷 4 | 锵 5 | 筱 6 | 嘘 7 | 怯 8 | 婷 9 | 

捎 : 锵 0 | 嘘 1 | 铿 2 | 婷 3 | 犊 4 | ｙ 5 | 蝗 6 | 掣 7 | 蕊 8 | 胺 9 | 

蹴 : ｙ 0 | 掣 1 | 婷 2 | 胺 3 | 嘘 4 | 蒿 5 | 锵 6 | 苯 7 | 铿 8 | 泗 9 | 

惶 : 蒿 0 | 苯 1 | 胺 2 | 泗 3 | 掣 4 | 栉 5 | ｙ 6 | 惋 7 | 婷 8 | 毡 9 | 

浒 : 栉 0 | 惋 1 | 泗 2 | 毡 3 | 苯 4 | 粥 5 | 蒿 6 | 蹊 7 | 胺 8 | 玺 9 | 

睇 : 粥 0 | 蹊 1 | 毡 2 | 玺 3 | 惋 4 | 迥 5 | 栉 6 | 窒 7 | 泗 8 | 搂 9 | 

疤 : 迥 0 | 窒 1 | 玺 2 | 搂 3 | 蹊 4 | 佟 5 | 粥 6 | 菏 7 | 毡 8 | 弋 9 | 

翌 : 佟 0 | 菏 1 | 搂 2 | 弋 3 | 窒 4 | 唁 5 | 迥 6 | 奕 7 | 玺 8 | 袂 9 | 

猿 : 唁 0 | 奕 1 | 弋 2 | 袂 3 | 菏 4 | 嗬 5 | 佟 6 | 扉 7 | 搂 8 | 祛 9 | 

粕 : 嗬 0 | 扉 1 | 袂 2 | 祛 3 | 奕 4 | 蔑 5 | 唁 6 | 褥 7 | 弋 8 | 赊 9 | 

④ : 蔑 0 | 褥 1 | 祛 2 | 赊 3 | 扉 4 | 虏 5 | 嗬 6 | 柘 7 | 袂 8 | 拷 9 | 

迤 : 虏 0 | 柘 1 | 赊 2 | 拷 3 | 褥 4 | 羚 5 | 蔑 6 | 俨 7 | 祛 8 | 犀 9 | 

洮 : 羚 0 | 俨 1 | 拷 2 | 犀 3 | 柘 4 | 舵 5 | 虏 6 | 遴 7 | 赊 8 | 皂 9 | 

裳 : 舵 0 | 遴 1 | 犀 2 | 皂 3 | 俨 4 | │ 5 | 羚 6 | 胫 7 | 拷 8 | 伶 9 | 

阙 : │ 0 | 胫 1 | 皂 2 | 伶 3 | 遴 4 | 囡 5 | 舵 6 | 迩 7 | 犀 8 | 谚 9 | 

珀 : 囡 0 | 迩 1 | 伶 2 | 谚 3 | 胫 4 | 狄 5 | │ 6 | 恣 7 | 皂 8 | 卞 9 | 

漩 : 狄 0 | 恣 1 | 谚 2 | 卞 3 | 迩 4 | 搓 5 | 囡 6 | 涸 7 | 伶 8 | 篓 9 | 

匣 : 搓 0 | 涸 1 | 卞 2 | 篓 3 | 恣 4 | 蓟 5 | 狄 6 | 篱 7 | 谚 8 | 弛 9 | 

殉 : 蓟 0 | 篱 1 | 篓 2 | 弛 3 | 涸 4 | 佰 5 | 搓 6 | 徕 7 | 卞 8 | 蹬 9 | 

炫 : 佰 0 | 徕 1 | 弛 2 | 蹬 3 | 篱 4 | 闰 5 | 蓟 6 | 飓 7 | 篓 8 | 眨 9 | 

戛 : 闰 0 | 飓 1 | 蹬 2 | 眨 3 | 徕 4 | 亵 5 | 佰 6 | 笺 7 | 弛 8 | 濮 9 | 

勐 : 亵 0 | 笺 1 | 眨 2 | 濮 3 | 飓 4 | 袄 5 | 闰 6 | 锢 7 | 蹬 8 | 鲥 9 | 

汩 : 袄 0 | 锢 1 | 濮 2 | 鲥 3 | 笺 4 | 钰 5 | 亵 6 | 祀 7 | 眨 8 | 姗 9 | 

楞 : 钰 0 | 祀 1 | 鲥 2 | 姗 3 | 锢 4 | 狸 5 | 袄 6 | 徉 7 | 濮 8 | 徜 9 | 

嗤 : 狸 0 | 徉 1 | 姗 2 | 徜 3 | 祀 4 | 怅 5 | 钰 6 | 蚂 7 | 鲥 8 | Ｚ 9 | 

屁 : 怅 0 | 蚂 1 | 徜 2 | Ｚ 3 | 徉 4 | 眯 5 | 狸 6 | 藕 7 | 姗 8 | 冽 9 | 

郅 : 眯 0 | 藕 1 | Ｚ 2 | 冽 3 | 蚂 4 | 舷 5 | 怅 6 | 燮 7 | 徜 8 | 媲 9 | 

祈 : 舷 0 | 燮 1 | 冽 2 | 媲 3 | 藕 4 | 奚 5 | 眯 6 | 奄 7 | Ｚ 8 | 皓 9 | 

毙 : 奚 0 | 奄 1 | 媲 2 | 皓 3 | 燮 4 | 褂 5 | 舷 6 | 酯 7 | 冽 8 | 珑 9 | 

坍 : 褂 0 | 酯 1 | 皓 2 | 珑 3 | 奄 4 | 鹃 5 | 奚 6 | 岖 7 | 媲 8 | 崽 9 | 

霓 : 鹃 0 | 岖 1 | 珑 2 | 崽 3 | 酯 4 | 羌 5 | 褂 6 | 鲨 7 | 皓 8 | 蛀 9 | 

偕 : 羌 0 | 鲨 1 | 崽 2 | 蛀 3 | 岖 4 | 诡 5 | 鹃 6 | 薰 7 | 珑 8 | 翱 9 | 

哇 : 诡 0 | 薰 1 | 蛀 2 | 翱 3 | 鲨 4 | 钳 5 | 羌 6 | 烷 7 | 崽 8 | 赝 9 | 

瀛 : 钳 0 | 烷 1 | 翱 2 | 赝 3 | 薰 4 | 痫 5 | 诡 6 | 脐 7 | 蛀 8 | 腮 9 | 

砾 : 痫 0 | 脐 1 | 赝 2 | 腮 3 | 烷 4 | 哼 5 | 钳 6 | 宓 7 | 翱 8 | 熹 9 | 

奚 : 哼 0 | 宓 1 | 腮 2 | 熹 3 | 脐 4 | 兀 5 | 痫 6 | 燎 7 | 赝 8 | 镛 9 | 

蔼 : 兀 0 | 燎 1 | 熹 2 | 镛 3 | 宓 4 | 啧 5 | 哼 6 | 陨 7 | 腮 8 | 徙 9 | 

诧 : 啧 0 | 陨 1 | 镛 2 | 徙 3 | 燎 4 | 鄙 5 | 兀 6 | 怦 7 | 熹 8 | 攸 9 | 

黝 : 鄙 0 | 怦 1 | 徙 2 | 攸 3 | 陨 4 | 惰 5 | 啧 6 | 掬 7 | 镛 8 | 甄 9 | 

虏 : 惰 0 | 掬 1 | 攸 2 | 甄 3 | 怦 4 | 骼 5 | 鄙 6 | 癫 7 | 徙 8 | 厮 9 | 

惭 : 骼 0 | 癫 1 | 甄 2 | 厮 3 | 掬 4 | 潼 5 | 惰 6 | ｋ 7 | 攸 8 | 帚 9 | 

搂 : 潼 0 | ｋ 1 | 厮 2 | 帚 3 | 癫 4 | 蜕 5 | 骼 6 | 拽 7 | 甄 8 | ｇ 9 | 

撵 : 蜕 0 | 拽 1 | 帚 2 | ｇ 3 | ｋ 4 | 祟 5 | 潼 6 | 黝 7 | 厮 8 | 钝 9 | 

玷 : 祟 0 | 黝 1 | ｇ 2 | 钝 3 | 拽 4 | 纭 5 | 蜕 6 | 锰 7 | 帚 8 | 桢 9 | 

椭 : 纭 0 | 锰 1 | 钝 2 | 桢 3 | 黝 4 | 藜 5 | 祟 6 | Ⅲ 7 | ｇ 8 | 泱 9 | 

羹 : 藜 0 | Ⅲ 1 | 桢 2 | 泱 3 | 锰 4 | 吱 5 | 纭 6 | 漉 7 | 钝 8 | 亘 9 | 

窦 : 吱 0 | 漉 1 | 泱 2 | 亘 3 | Ⅲ 4 | 幌 5 | 藜 6 | 瓯 7 | 桢 8 | 呱 9 | 

邬 : 幌 0 | 瓯 1 | 亘 2 | 呱 3 | 漉 4 | 哽 5 | 吱 6 | 裳 7 | 泱 8 | 籁 9 | 

茸 : 哽 0 | 裳 1 | 呱 2 | 籁 3 | 瓯 4 | 胰 5 | 幌 6 | 撩 7 | 亘 8 | 膳 9 | 

娣 : 胰 0 | 撩 1 | 籁 2 | 膳 3 | 裳 4 | 迦 5 | 哽 6 | 嘀 7 | 呱 8 | 飨 9 | 

鳖 : 迦 0 | 嘀 1 | 膳 2 | 飨 3 | 撩 4 | 淅 5 | 胰 6 | 茸 7 | 籁 8 | 锥 9 | 

嗜 : 淅 0 | 茸 1 | 飨 2 | 锥 3 | 嘀 4 | 丫 5 | 迦 6 | 鄢 7 | 膳 8 | 偃 9 | 

蔷 : 丫 0 | 鄢 1 | 锥 2 | 偃 3 | 茸 4 | 铤 5 | 淅 6 | 婪 7 | 飨 8 | 掂 9 | 

敖 : 铤 0 | 婪 1 | 偃 2 | 掂 3 | 鄢 4 | 逍 5 | 丫 6 | 憎 7 | 锥 8 | 惭 9 | 

耄 : 逍 0 | 憎 1 | 掂 2 | 惭 3 | 婪 4 | 佤 5 | 铤 6 | 嗣 7 | 偃 8 | 葵 9 | 

嗅 : 佤 0 | 嗣 1 | 惭 2 | 葵 3 | 憎 4 | 骅 5 | 逍 6 | 倔 7 | 掂 8 | 吭 9 | 

狸 : 骅 0 | 倔 1 | 葵 2 | 吭 3 | 嗣 4 | 嫉 5 | 佤 6 | 涓 7 | 惭 8 | 篝 9 | 

丐 : 嫉 0 | 涓 1 | 吭 2 | 篝 3 | 倔 4 | 垢 5 | 骅 6 | 脍 7 | 葵 8 | 琶 9 | 

掂 : 垢 0 | 脍 1 | 篝 2 | 琶 3 | 涓 4 | 菁 5 | 嫉 6 | 凋 7 | 吭 8 | 蹴 9 | 

酶 : 菁 0 | 凋 1 | 琶 2 | 蹴 3 | 脍 4 | 讥 5 | 垢 6 | 胥 7 | 篝 8 | ｆ 9 | 

馁 : 讥 0 | 胥 1 | 蹴 2 | ｆ 3 | 凋 4 | 篑 5 | 菁 6 | 幄 7 | 琶 8 | 猝 9 | 

芥 : 篑 0 | 幄 1 | ｆ 2 | 猝 3 | 胥 4 | 悸 5 | 讥 6 | 羲 7 | 蹴 8 | 鱿 9 | 

靓 : 悸 0 | 羲 1 | 猝 2 | 鱿 3 | 幄 4 | 耄 5 | 篑 6 | 缰 7 | ｆ 8 | 夙 9 | 

薹 : 耄 0 | 缰 1 | 鱿 2 | 夙 3 | 羲 4 | 跷 5 | 悸 6 | 荞 7 | 猝 8 | ｂ 9 | 

伶 : 跷 0 | 荞 1 | 夙 2 | ｂ 3 | 缰 4 | 邬 5 | 耄 6 | 衙 7 | 鱿 8 | 掰 9 | 

窒 : 邬 0 | 衙 1 | ｂ 2 | 掰 3 | 荞 4 | 筏 5 | 跷 6 | 耋 7 | 夙 8 | 薹 9 | 

枰 : 筏 0 | 耋 1 | 掰 2 | 薹 3 | 衙 4 | Ⅱ 5 | 邬 6 | 懦 7 | ｂ 8 | 黛 9 | 

砭 : Ⅱ 0 | 懦 1 | 薹 2 | 黛 3 | 耋 4 | 缎 5 | 筏 6 | 惬 7 | 掰 8 | 莆 9 | 

昶 : 缎 0 | 惬 1 | 黛 2 | 莆 3 | 懦 4 | 恺 5 | Ⅱ 6 | 狡 7 | 薹 8 | 咳 9 | 

阂 : 恺 0 | 狡 1 | 莆 2 | 咳 3 | 惬 4 | 藩 5 | 缎 6 | 忻 7 | 黛 8 | Ｑ 9 | 

怅 : 藩 0 | 忻 1 | 咳 2 | Ｑ 3 | 狡 4 | 芸 5 | 恺 6 | 氰 7 | 莆 8 | 嵘 9 | 

葩 : 芸 0 | 氰 1 | Ｑ 2 | 嵘 3 | 忻 4 | 蛟 5 | 藩 6 | 溧 7 | 咳 8 | 淼 9 | 

疱 : 蛟 0 | 溧 1 | 嵘 2 | 淼 3 | 氰 4 | 卦 5 | 芸 6 | 倏 7 | Ｑ 8 | 睽 9 | 

臃 : 卦 0 | 倏 1 | 淼 2 | 睽 3 | 溧 4 | 瓴 5 | 蛟 6 | 膺 7 | 嵘 8 | 裘 9 | 

珑 : 瓴 0 | 膺 1 | 睽 2 | 裘 3 | 倏 4 | 瑕 5 | 卦 6 | 祚 7 | 淼 8 | 阖 9 | 

ｂ : 瑕 0 | 祚 1 | 裘 2 | 阖 3 | 膺 4 | 蛛 5 | 瓴 6 | 溥 7 | 睽 8 | 屎 9 | 

ｆ : 蛛 0 | 溥 1 | 阖 2 | 屎 3 | 祚 4 | 喳 5 | 瑕 6 | 恃 7 | 裘 8 | 讹 9 | 

愕 : 喳 0 | 恃 1 | 屎 2 | 讹 3 | 溥 4 | 偎 5 | 蛛 6 | 啪 7 | 阖 8 | 觐 9 | 

糠 : 偎 0 | 啪 1 | 讹 2 | 觐 3 | 恃 4 | 噢 5 | 喳 6 | 楞 7 | 屎 8 | 枷 9 | 

