。 : 。 0 | 、 1 | 的 2 | 国 3 | ， 4 | 一 5 | 在 6 | 中 7 | 人 8 | 了 9 | 是 10 | 和 11 | 有 12 | 大 13 | １ 14 | 不 15 | 年 16 | ０ 17 | 会 18 | 为 19 | 
芒 : 颈 0 | 骂 1 | 珊 2 | Ｘ 3 | 淋 4 | 吟 5 | 躲 6 | 曝 7 | 趁 8 | 崖 9 | 梨 10 | 叉 11 | 垫 12 | 邢 13 | 斋 14 | 茵 15 | 沛 16 | 漳 17 | 铢 18 | 厨 19 | 

牟 : 吟 0 | 曝 1 | Ｘ 2 | 崖 3 | 骂 4 | 叉 5 | 颈 6 | 邢 7 | 珊 8 | 茵 9 | 淋 10 | 漳 11 | 躲 12 | 厨 13 | 趁 14 | 拐 15 | 梨 16 | 俺 17 | 垫 18 | 菇 19 | 

匙 : 叉 0 | 邢 1 | 崖 2 | 茵 3 | 曝 4 | 漳 5 | 吟 6 | 厨 7 | Ｘ 8 | 拐 9 | 骂 10 | 俺 11 | 颈 12 | 菇 13 | 珊 14 | ｉ 15 | 淋 16 | 苹 17 | 躲 18 | 萎 19 | 

呵 : 漳 0 | 厨 1 | 茵 2 | 拐 3 | 邢 4 | 俺 5 | 叉 6 | 菇 7 | 崖 8 | ｉ 9 | 曝 10 | 苹 11 | 吟 12 | 萎 13 | Ｘ 14 | 慷 15 | 骂 16 | 恼 17 | 颈 18 | 纹 19 | 

狼 : 俺 0 | 菇 1 | 拐 2 | ｉ 3 | 厨 4 | 苹 5 | 漳 6 | 萎 7 | 茵 8 | 慷 9 | 邢 10 | 恼 11 | 叉 12 | 纹 13 | 崖 14 | 瑰 15 | 曝 16 | 恪 17 | 吟 18 | 绥 19 | 

刹 : 苹 0 | 萎 1 | ｉ 2 | 慷 3 | 菇 4 | 恼 5 | 俺 6 | 纹 7 | 拐 8 | 瑰 9 | 厨 10 | 恪 11 | 漳 12 | 绥 13 | 茵 14 | 躁 15 | 邢 16 | 宛 17 | 叉 18 | 锣 19 | 

抹 : 恼 0 | 纹 1 | 慷 2 | 瑰 3 | 萎 4 | 恪 5 | 苹 6 | 绥 7 | ｉ 8 | 躁 9 | 菇 10 | 宛 11 | 俺 12 | 锣 13 | 拐 14 | ｒ 15 | 厨 16 | 渣 17 | 漳 18 | 楷 19 | 

耸 : 恪 0 | 绥 1 | 瑰 2 | 躁 3 | 纹 4 | 宛 5 | 恼 6 | 锣 7 | 慷 8 | ｒ 9 | 萎 10 | 渣 11 | 苹 12 | 楷 13 | ｉ 14 | 椒 15 | 菇 16 | 猖 17 | 俺 18 | 沂 19 | 

兔 : 宛 0 | 锣 1 | 躁 2 | ｒ 3 | 绥 4 | 渣 5 | 恪 6 | 楷 7 | 瑰 8 | 椒 9 | 纹 10 | 猖 11 | 恼 12 | 沂 13 | 慷 14 | 酝 15 | 萎 16 | 髓 17 | 苹 18 | 铅 19 | 

恨 : 渣 0 | 楷 1 | ｒ 2 | 椒 3 | 锣 4 | 猖 5 | 宛 6 | 沂 7 | 躁 8 | 酝 9 | 绥 10 | 髓 11 | 恪 12 | 铅 13 | 瑰 14 | 遮 15 | 纹 16 | 馈 17 | 恼 18 | 舌 19 | 

酝 : 猖 0 | 沂 1 | 椒 2 | 酝 3 | 楷 4 | 髓 5 | 渣 6 | 铅 7 | ｒ 8 | 遮 9 | 锣 10 | 馈 11 | 宛 12 | 舌 13 | 躁 14 | Ｒ 15 | 绥 16 | 喧 17 | 恪 18 | 斡 19 | 

赣 : 髓 0 | 铅 1 | 酝 2 | 遮 3 | 沂 4 | 馈 5 | 猖 6 | 舌 7 | 椒 8 | Ｒ 9 | 楷 10 | 喧 11 | 渣 12 | 斡 13 | ｒ 14 | 衫 15 | 锣 16 | 粪 17 | 宛 18 | 匠 19 | 

麓 : 馈 0 | 舌 1 | 遮 2 | Ｒ 3 | 铅 4 | 喧 5 | 髓 6 | 斡 7 | 酝 8 | 衫 9 | 沂 10 | 粪 11 | 猖 12 | 匠 13 | 椒 14 | 绎 15 | 楷 16 | 哄 17 | 渣 18 | 迭 19 | 

绑 : 喧 0 | 斡 1 | Ｒ 2 | 衫 3 | 舌 4 | 粪 5 | 馈 6 | 匠 7 | 遮 8 | 绎 9 | 铅 10 | 哄 11 | 髓 12 | 迭 13 | 酝 14 | 汹 15 | 沂 16 | 缚 17 | 猖 18 | 怡 19 | 

肌 : 粪 0 | 匠 1 | 衫 2 | 绎 3 | 斡 4 | 哄 5 | 喧 6 | 迭 7 | Ｒ 8 | 汹 9 | 舌 10 | 缚 11 | 馈 12 | 怡 13 | 遮 14 | 汝 15 | 铅 16 | 晃 17 | 髓 18 | 雀 19 | 

焰 : 哄 0 | 迭 1 | 绎 2 | 汹 3 | 匠 4 | 缚 5 | 粪 6 | 怡 7 | 衫 8 | 汝 9 | 斡 10 | 晃 11 | 喧 12 | 雀 13 | Ｒ 14 | 禹 15 | 舌 16 | 肚 17 | 馈 18 | 蛇 19 | 

稚 : 缚 0 | 怡 1 | 汹 2 | 汝 3 | 迭 4 | 晃 5 | 哄 6 | 雀 7 | 绎 8 | 禹 9 | 匠 10 | 肚 11 | 粪 12 | 蛇 13 | 衫 14 | 阜 15 | 斡 16 | 喂 17 | 喧 18 | 羡 19 | 

抖 : 晃 0 | 雀 1 | 汝 2 | 禹 3 | 怡 4 | 肚 5 | 缚 6 | 蛇 7 | 汹 8 | 阜 9 | 迭 10 | 喂 11 | 哄 12 | 羡 13 | 绎 14 | 琪 15 | 匠 16 | 栗 17 | 粪 18 | 禄 19 | 

绥 : 肚 0 | 蛇 1 | 禹 2 | 阜 3 | 雀 4 | 喂 5 | 晃 6 | 羡 7 | 汝 8 | 琪 9 | 怡 10 | 栗 11 | 缚 12 | 禄 13 | 汹 14 | 苑 15 | 迭 16 | 倪 17 | 哄 18 | 瘫 19 | 

扯 : 喂 0 | 羡 1 | 阜 2 | 琪 3 | 蛇 4 | 栗 5 | 肚 6 | 禄 7 | 禹 8 | 苑 9 | 雀 10 | 倪 11 | 晃 12 | 瘫 13 | 汝 14 | 寡 15 | 怡 16 | 痴 17 | 缚 18 | 萌 19 | 

赃 : 栗 0 | 禄 1 | 琪 2 | 苑 3 | 羡 4 | 倪 5 | 喂 6 | 瘫 7 | 阜 8 | 寡 9 | 蛇 10 | 痴 11 | 肚 12 | 萌 13 | 禹 14 | 摧 15 | 雀 16 | 冉 17 | 晃 18 | 扇 19 | 

瞒 : 倪 0 | 瘫 1 | 苑 2 | 寡 3 | 禄 4 | 痴 5 | 栗 6 | 萌 7 | 琪 8 | 摧 9 | 羡 10 | 冉 11 | 喂 12 | 扇 13 | 阜 14 | 棠 15 | 蛇 16 | 赌 17 | 肚 18 | 沾 19 | 

裤 : 痴 0 | 萌 1 | 寡 2 | 摧 3 | 瘫 4 | 冉 5 | 倪 6 | 扇 7 | 苑 8 | 棠 9 | 禄 10 | 赌 11 | 栗 12 | 沾 13 | 琪 14 | 嘛 15 | 羡 16 | 媳 17 | 喂 18 | 伞 19 | 

桓 : 冉 0 | 扇 1 | 摧 2 | 棠 3 | 萌 4 | 赌 5 | 痴 6 | 沾 7 | 寡 8 | 嘛 9 | 瘫 10 | 媳 11 | 倪 12 | 伞 13 | 苑 14 | 胃 15 | 禄 16 | 惧 17 | 栗 18 | 灶 19 | 

忌 : 赌 0 | 沾 1 | 棠 2 | 嘛 3 | 扇 4 | 媳 5 | 冉 6 | 伞 7 | 摧 8 | 胃 9 | 萌 10 | 惧 11 | 痴 12 | 灶 13 | 寡 14 | 闷 15 | 瘫 16 | 驭 17 | 倪 18 | 乾 19 | 

晖 : 媳 0 | 伞 1 | 嘛 2 | 胃 3 | 沾 4 | 惧 5 | 赌 6 | 灶 7 | 棠 8 | 闷 9 | 扇 10 | 驭 11 | 冉 12 | 乾 13 | 摧 14 | 锤 15 | 萌 16 | 邪 17 | 痴 18 | 噪 19 | 

碟 : 惧 0 | 灶 1 | 胃 2 | 闷 3 | 伞 4 | 驭 5 | 媳 6 | 乾 7 | 嘛 8 | 锤 9 | 沾 10 | 邪 11 | 赌 12 | 噪 13 | 棠 14 | 婉 15 | 扇 16 | 尧 17 | 冉 18 | 倘 19 | 

婉 : 驭 0 | 乾 1 | 闷 2 | 锤 3 | 灶 4 | 邪 5 | 惧 6 | 噪 7 | 胃 8 | 婉 9 | 伞 10 | 尧 11 | 媳 12 | 倘 13 | 嘛 14 | 绑 15 | 沾 16 | 杠 17 | 赌 18 | 扯 19 | 

躯 : 邪 0 | 噪 1 | 锤 2 | 婉 3 | 乾 4 | 尧 5 | 驭 6 | 倘 7 | 闷 8 | 绑 9 | 灶 10 | 杠 11 | 惧 12 | 扯 13 | 胃 14 | 喇 15 | 伞 16 | 裹 17 | 媳 18 | 兔 19 | 

厌 : 尧 0 | 倘 1 | 婉 2 | 绑 3 | 噪 4 | 杠 5 | 邪 6 | 扯 7 | 锤 8 | 喇 9 | 乾 10 | 裹 11 | 驭 12 | 兔 13 | 闷 14 | 芽 15 | 灶 16 | 卉 17 | 惧 18 | 裤 19 | 

奸 : 杠 0 | 扯 1 | 绑 2 | 喇 3 | 倘 4 | 裹 5 | 尧 6 | 兔 7 | 婉 8 | 芽 9 | 噪 10 | 卉 11 | 邪 12 | 裤 13 | 锤 14 | 蜜 15 | 乾 16 | 掠 17 | 驭 18 | 棍 19 | 

溜 : 裹 0 | 兔 1 | 喇 2 | 芽 3 | 扯 4 | 卉 5 | 杠 6 | 裤 7 | 绑 8 | 蜜 9 | 倘 10 | 掠 11 | 尧 12 | 棍 13 | 婉 14 | 獗 15 | 噪 16 | 浊 17 | 邪 18 | 沸 19 | 

慷 : 卉 0 | 裤 1 | 芽 2 | 蜜 3 | 兔 4 | 掠 5 | 裹 6 | 棍 7 | 喇 8 | 獗 9 | 扯 10 | 浊 11 | 杠 12 | 沸 13 | 绑 14 | 鸽 15 | 倘 16 | 稚 17 | 尧 18 | 彝 19 | 

梳 : 掠 0 | 棍 1 | 蜜 2 | 獗 3 | 裤 4 | 浊 5 | 卉 6 | 沸 7 | 芽 8 | 鸽 9 | 兔 10 | 稚 11 | 裹 12 | 彝 13 | 喇 14 | 脂 15 | 扯 16 | 漓 17 | 杠 18 | 漆 19 | 

兽 : 浊 0 | 沸 1 | 獗 2 | 鸽 3 | 棍 4 | 稚 5 | 掠 6 | 彝 7 | 蜜 8 | 脂 9 | 裤 10 | 漓 11 | 卉 12 | 漆 13 | 芽 14 | 耻 15 | 兔 16 | 鞠 17 | 裹 18 | 汲 19 | 

绎 : 稚 0 | 彝 1 | 鸽 2 | 脂 3 | 沸 4 | 漓 5 | 浊 6 | 漆 7 | 獗 8 | 耻 9 | 棍 10 | 鞠 11 | 掠 12 | 汲 13 | 蜜 14 | 敖 15 | 裤 16 | 稼 17 | 卉 18 | 焰 19 | 

俯 : 漓 0 | 漆 1 | 脂 2 | 耻 3 | 彝 4 | 鞠 5 | 稚 6 | 汲 7 | 鸽 8 | 敖 9 | 沸 10 | 稼 11 | 浊 12 | 焰 13 | 獗 14 | 齿 15 | 棍 16 | 俘 17 | 掠 18 | 溜 19 | 

熏 : 鞠 0 | 汲 1 | 耻 2 | 敖 3 | 漆 4 | 稼 5 | 漓 6 | 焰 7 | 脂 8 | 齿 9 | 彝 10 | 俘 11 | 稚 12 | 溜 13 | 鸽 14 | 嘎 15 | 沸 16 | 铲 17 | 浊 18 | ｃ 19 | 

弓 : 稼 0 | 焰 1 | 敖 2 | 齿 3 | 汲 4 | 俘 5 | 鞠 6 | 溜 7 | 耻 8 | 嘎 9 | 漆 10 | 铲 11 | 漓 12 | ｃ 13 | 脂 14 | 醇 15 | 彝 16 | 钊 17 | 稚 18 | 鑫 19 | 

躺 : 俘 0 | 溜 1 | 齿 2 | 嘎 3 | 焰 4 | 铲 5 | 稼 6 | ｃ 7 | 敖 8 | 醇 9 | 汲 10 | 钊 11 | 鞠 12 | 鑫 13 | 耻 14 | 踩 15 | 漆 16 | 沼 17 | 漓 18 | 恭 19 | 

▲ : 铲 0 | ｃ 1 | 嘎 2 | 醇 3 | 溜 4 | 钊 5 | 俘 6 | 鑫 7 | 齿 8 | 踩 9 | 焰 10 | 沼 11 | 稼 12 | 恭 13 | 敖 14 | 巢 15 | 汲 16 | 僻 17 | 鞠 18 | 寰 19 | 

掺 : 钊 0 | 鑫 1 | 醇 2 | 踩 3 | ｃ 4 | 沼 5 | 铲 6 | 恭 7 | 嘎 8 | 巢 9 | 溜 10 | 僻 11 | 俘 12 | 寰 13 | 齿 14 | 霖 15 | 焰 16 | 樱 17 | 稼 18 | 尸 19 | 

斧 : 沼 0 | 恭 1 | 踩 2 | 巢 3 | 鑫 4 | 僻 5 | 钊 6 | 寰 7 | 醇 8 | 霖 9 | ｃ 10 | 樱 11 | 铲 12 | 尸 13 | 嘎 14 | 麟 15 | 溜 16 | 兽 17 | 俘 18 | 昊 19 | 

罩 : 僻 0 | 寰 1 | 巢 2 | 霖 3 | 恭 4 | 樱 5 | 沼 6 | 尸 7 | 踩 8 | 麟 9 | 鑫 10 | 兽 11 | 钊 12 | 昊 13 | 醇 14 | 陡 15 | ｃ 16 | 龟 17 | 铲 18 | 裔 19 | 

墅 : 樱 0 | 尸 1 | 霖 2 | 麟 3 | 寰 4 | 兽 5 | 僻 6 | 昊 7 | 巢 8 | 陡 9 | 恭 10 | 龟 11 | 沼 12 | 裔 13 | 踩 14 | 觅 15 | 鑫 16 | － 17 | 钊 18 | 泻 19 | 

僚 : 兽 0 | 昊 1 | 麟 2 | 陡 3 | 尸 4 | 龟 5 | 樱 6 | 裔 7 | 霖 8 | 觅 9 | 寰 10 | － 11 | 僻 12 | 泻 13 | 巢 14 | 绣 15 | 恭 16 | 桐 17 | 沼 18 | 聂 19 | 

泾 : 龟 0 | 裔 1 | 陡 2 | 觅 3 | 昊 4 | － 5 | 兽 6 | 泻 7 | 麟 8 | 绣 9 | 尸 10 | 桐 11 | 樱 12 | 聂 13 | 霖 14 | 硫 15 | 寰 16 | 徊 17 | 僻 18 | 邸 19 | 

铅 : － 0 | 泻 1 | 觅 2 | 绣 3 | 裔 4 | 桐 5 | 龟 6 | 聂 7 | 陡 8 | 硫 9 | 昊 10 | 徊 11 | 兽 12 | 邸 13 | 麟 14 | 瑟 15 | 尸 16 | 涅 17 | 樱 18 | 烤 19 | 

忱 : 桐 0 | 聂 1 | 绣 2 | 硫 3 | 泻 4 | 徊 5 | － 6 | 邸 7 | 觅 8 | 瑟 9 | 裔 10 | 涅 11 | 龟 12 | 烤 13 | 陡 14 | 徘 15 | 昊 16 | 靖 17 | 兽 18 | 肢 19 | 

馈 : 徊 0 | 邸 1 | 硫 2 | 瑟 3 | 聂 4 | 涅 5 | 桐 6 | 烤 7 | 绣 8 | 徘 9 | 泻 10 | 靖 11 | － 12 | 肢 13 | 觅 14 | 浏 15 | 裔 16 | 曙 17 | 龟 18 | 阀 19 | 

帘 : 涅 0 | 烤 1 | 瑟 2 | 徘 3 | 邸 4 | 靖 5 | 徊 6 | 肢 7 | 硫 8 | 浏 9 | 聂 10 | 曙 11 | 桐 12 | 阀 13 | 绣 14 | 薯 15 | 泻 16 | 焚 17 | － 18 | 咏 19 | 

裹 : 靖 0 | 肢 1 | 徘 2 | 浏 3 | 烤 4 | 曙 5 | 涅 6 | 阀 7 | 瑟 8 | 薯 9 | 邸 10 | 焚 11 | 徊 12 | 咏 13 | 硫 14 | 蛮 15 | 聂 16 | 晕 17 | 桐 18 | 吓 19 | 

驴 : 曙 0 | 阀 1 | 浏 2 | 薯 3 | 肢 4 | 焚 5 | 靖 6 | 咏 7 | 徘 8 | 蛮 9 | 烤 10 | 晕 11 | 涅 12 | 吓 13 | 瑟 14 | 钉 15 | 邸 16 | 郸 17 | 徊 18 | 耘 19 | 

秃 : 焚 0 | 咏 1 | 薯 2 | 蛮 3 | 阀 4 | 晕 5 | 曙 6 | 吓 7 | 浏 8 | 钉 9 | 肢 10 | 郸 11 | 靖 12 | 耘 13 | 徘 14 | 朔 15 | 烤 16 | 叭 17 | 涅 18 | 赃 19 | 

沛 : 晕 0 | 吓 1 | 蛮 2 | 钉 3 | 咏 4 | 郸 5 | 焚 6 | 耘 7 | 薯 8 | 朔 9 | 阀 10 | 叭 11 | 曙 12 | 赃 13 | 浏 14 | 扳 15 | 肢 16 | 愚 17 | 靖 18 | 匙 19 | 

ｃ : 郸 0 | 耘 1 | 钉 2 | 朔 3 | 吓 4 | 叭 5 | 晕 6 | 赃 7 | 蛮 8 | 扳 9 | 咏 10 | 愚 11 | 焚 12 | 匙 13 | 薯 14 | 斐 15 | 阀 16 | 碳 17 | 曙 18 | 晖 19 | 

琢 : 叭 0 | 赃 1 | 朔 2 | 扳 3 | 耘 4 | 愚 5 | 郸 6 | 匙 7 | 钉 8 | 斐 9 | 吓 10 | 碳 11 | 晕 12 | 晖 13 | 蛮 14 | 冤 15 | 咏 16 | 奸 17 | 焚 18 | 罩 19 | 

榴 : 愚 0 | 匙 1 | 扳 2 | 斐 3 | 赃 4 | 碳 5 | 叭 6 | 晖 7 | 朔 8 | 冤 9 | 耘 10 | 奸 11 | 郸 12 | 罩 13 | 钉 14 | 栖 15 | 吓 16 | 寥 17 | 晕 18 | 熏 19 | 

璐 : 碳 0 | 晖 1 | 斐 2 | 冤 3 | 匙 4 | 奸 5 | 愚 6 | 罩 7 | 扳 8 | 栖 9 | 赃 10 | 寥 11 | 叭 12 | 熏 13 | 朔 14 | 捆 15 | 耘 16 | 侠 17 | 郸 18 | 蛙 19 | 

珊 : 奸 0 | 罩 1 | 冤 2 | 栖 3 | 晖 4 | 寥 5 | 碳 6 | 熏 7 | 斐 8 | 捆 9 | 匙 10 | 侠 11 | 愚 12 | 蛙 13 | 扳 14 | 诵 15 | 赃 16 | 洼 17 | 叭 18 | 叮 19 | 

姬 : 寥 0 | 熏 1 | 栖 2 | 捆 3 | 罩 4 | 侠 5 | 奸 6 | 蛙 7 | 冤 8 | 诵 9 | 晖 10 | 洼 11 | 碳 12 | 叮 13 | 斐 14 | 拢 15 | 匙 16 | 毯 17 | 愚 18 | 擂 19 | 

侗 : 侠 0 | 蛙 1 | 捆 2 | 诵 3 | 熏 4 | 洼 5 | 寥 6 | 叮 7 | 栖 8 | 拢 9 | 罩 10 | 毯 11 | 奸 12 | 擂 13 | 冤 14 | 榆 15 | 晖 16 | 甩 17 | 碳 18 | 隙 19 | 

栖 : 洼 0 | 叮 1 | 诵 2 | 拢 3 | 蛙 4 | 毯 5 | 侠 6 | 擂 7 | 捆 8 | 榆 9 | 熏 10 | 甩 11 | 寥 12 | 隙 13 | 栖 14 | 淫 15 | 罩 16 | 筛 17 | 奸 18 | 拱 19 | 

瑟 : 毯 0 | 擂 1 | 拢 2 | 榆 3 | 叮 4 | 甩 5 | 洼 6 | 隙 7 | 诵 8 | 淫 9 | 蛙 10 | 筛 11 | 侠 12 | 拱 13 | 捆 14 | 熬 15 | 熏 16 | 钥 17 | 寥 18 | 霉 19 | 

溶 : 甩 0 | 隙 1 | 榆 2 | 淫 3 | 擂 4 | 筛 5 | 毯 6 | 拱 7 | 拢 8 | 熬 9 | 叮 10 | 钥 11 | 洼 12 | 霉 13 | 诵 14 | 矮 15 | 蛙 16 | 瞒 17 | 侠 18 | 俯 19 | 

崖 : 筛 0 | 拱 1 | 淫 2 | 熬 3 | 隙 4 | 钥 5 | 甩 6 | 霉 7 | 榆 8 | 矮 9 | 擂 10 | 瞒 11 | 毯 12 | 俯 13 | 拢 14 | 卒 15 | 叮 16 | 躬 17 | 洼 18 | 葫 19 | 

跻 : 钥 0 | 霉 1 | 熬 2 | 矮 3 | 拱 4 | 瞒 5 | 筛 6 | 俯 7 | 淫 8 | 卒 9 | 隙 10 | 躬 11 | 甩 12 | 葫 13 | 榆 14 | 饺 15 | 擂 16 | 轴 17 | 毯 18 | 汾 19 | 

樱 : 瞒 0 | 俯 1 | 矮 2 | 卒 3 | 霉 4 | 躬 5 | 钥 6 | 葫 7 | 熬 8 | 饺 9 | 拱 10 | 轴 11 | 筛 12 | 汾 13 | 淫 14 | 寞 15 | 隙 16 | 曰 17 | 甩 18 | 胖 19 | 

壶 : 躬 0 | 葫 1 | 卒 2 | 饺 3 | 俯 4 | 轴 5 | 瞒 6 | 汾 7 | 矮 8 | 寞 9 | 霉 10 | 曰 11 | 钥 12 | 胖 13 | 熬 14 | 梭 15 | 拱 16 | 翅 17 | 筛 18 | 簇 19 | 

鹅 : 轴 0 | 汾 1 | 饺 2 | 寞 3 | 葫 4 | 曰 5 | 躬 6 | 胖 7 | 卒 8 | 梭 9 | 俯 10 | 翅 11 | 瞒 12 | 簇 13 | 矮 14 | ▲ 15 | 霉 16 | 汁 17 | 钥 18 | 攒 19 | 

宠 : 曰 0 | 胖 1 | 寞 2 | 梭 3 | 汾 4 | 翅 5 | 轴 6 | 簇 7 | 饺 8 | ▲ 9 | 葫 10 | 汁 11 | 躬 12 | 攒 13 | 卒 14 | 黔 15 | 俯 16 | 仇 17 | 瞒 18 | 肾 19 | 

暇 : 翅 0 | 簇 1 | 梭 2 | ▲ 3 | 胖 4 | 汁 5 | 曰 6 | 攒 7 | 寞 8 | 黔 9 | 汾 10 | 仇 11 | 轴 12 | 肾 13 | 饺 14 | 抖 15 | 葫 16 | 倦 17 | 躬 18 | 拯 19 | 

潇 : 汁 0 | 攒 1 | ▲ 2 | 黔 3 | 簇 4 | 仇 5 | 翅 6 | 肾 7 | 梭 8 | 抖 9 | 胖 10 | 倦 11 | 曰 12 | 拯 13 | 寞 14 | 哗 15 | 汾 16 | 琦 17 | 轴 18 | 糕 19 | 

钉 : 仇 0 | 肾 1 | 黔 2 | 抖 3 | 攒 4 | 倦 5 | 汁 6 | 拯 7 | ▲ 8 | 哗 9 | 簇 10 | 琦 11 | 翅 12 | 糕 13 | 梭 14 | 皖 15 | 胖 16 | 溶 17 | 曰 18 | 礁 19 | 

绚 : 倦 0 | 拯 1 | 抖 2 | 哗 3 | 肾 4 | 琦 5 | 仇 6 | 糕 7 | 黔 8 | 皖 9 | 攒 10 | 溶 11 | 汁 12 | 礁 13 | ▲ 14 | 捍 15 | 簇 16 | 楠 17 | 翅 18 | 阮 19 | 

崎 : 琦 0 | 糕 1 | 哗 2 | 皖 3 | 拯 4 | 溶 5 | 倦 6 | 礁 7 | 抖 8 | 捍 9 | 肾 10 | 楠 11 | 仇 12 | 阮 13 | 黔 14 | 埠 15 | 攒 16 | 搁 17 | 汁 18 | 瑶 19 | 

拢 : 溶 0 | 礁 1 | 皖 2 | 捍 3 | 糕 4 | 楠 5 | 琦 6 | 阮 7 | 哗 8 | 埠 9 | 拯 10 | 搁 11 | 倦 12 | 瑶 13 | 抖 14 | 颤 15 | 肾 16 | 痹 17 | 仇 18 | 牟 19 | 

聂 : 楠 0 | 阮 1 | 捍 2 | 埠 3 | 礁 4 | 搁 5 | 溶 6 | 瑶 7 | 皖 8 | 颤 9 | 糕 10 | 痹 11 | 琦 12 | 牟 13 | 哗 14 | 莹 15 | 拯 16 | 翟 17 | 倦 18 | 啸 19 | 

烫 : 搁 0 | 瑶 1 | 埠 2 | 颤 3 | 阮 4 | 痹 5 | 楠 6 | 牟 7 | 捍 8 | 莹 9 | 礁 10 | 翟 11 | 溶 12 | 啸 13 | 皖 14 | 萃 15 | 糕 16 | 畴 17 | 琦 18 | 峙 19 | 

愚 : 痹 0 | 牟 1 | 颤 2 | 莹 3 | 瑶 4 | 翟 5 | 搁 6 | 啸 7 | 埠 8 | 萃 9 | 阮 10 | 畴 11 | 楠 12 | 峙 13 | 捍 14 | 绚 15 | 礁 16 | 帼 17 | 溶 18 | 跋 19 | 

炕 : 翟 0 | 啸 1 | 莹 2 | 萃 3 | 牟 4 | 畴 5 | 痹 6 | 峙 7 | 颤 8 | 绚 9 | 瑶 10 | 帼 11 | 搁 12 | 跋 13 | 埠 14 | 匾 15 | 阮 16 | 壶 17 | 楠 18 | 榄 19 | 

鲍 : 畴 0 | 峙 1 | 萃 2 | 绚 3 | 啸 4 | 帼 5 | 翟 6 | 跋 7 | 莹 8 | 匾 9 | 牟 10 | 壶 11 | 痹 12 | 榄 13 | 颤 14 | 哺 15 | 瑶 16 | 烁 17 | 搁 18 | 滇 19 | 

ｍ : 帼 0 | 跋 1 | 绚 2 | 匾 3 | 峙 4 | 壶 5 | 畴 6 | 榄 7 | 萃 8 | 哺 9 | 啸 10 | 烁 11 | 翟 12 | 滇 13 | 莹 14 | 跻 15 | 牟 16 | 萝 17 | 痹 18 | 逛 19 | 

贼 : 壶 0 | 榄 1 | 匾 2 | 哺 3 | 跋 4 | 烁 5 | 帼 6 | 滇 7 | 绚 8 | 跻 9 | 峙 10 | 萝 11 | 畴 12 | 逛 13 | 萃 14 | 厌 15 | 啸 16 | 讽 17 | 翟 18 | 瞄 19 | 

磷 : 烁 0 | 滇 1 | 哺 2 | 跻 3 | 榄 4 | 萝 5 | 壶 6 | 逛 7 | 匾 8 | 厌 9 | 跋 10 | 讽 11 | 帼 12 | 瞄 13 | 绚 14 | 灸 15 | 峙 16 | 郝 17 | 畴 18 | 筝 19 | 

噪 : 萝 0 | 逛 1 | 跻 2 | 厌 3 | 滇 4 | 讽 5 | 烁 6 | 瞄 7 | 哺 8 | 灸 9 | 榄 10 | 郝 11 | 壶 12 | 筝 13 | 匾 14 | 滕 15 | 跋 16 | 渎 17 | 帼 18 | ｗ 19 | 

雀 : 讽 0 | 瞄 1 | 厌 2 | 灸 3 | 逛 4 | 郝 5 | 萝 6 | 筝 7 | 跻 8 | 滕 9 | 滇 10 | 渎 11 | 烁 12 | ｗ 13 | 哺 14 | 丙 15 | 榄 16 | 琢 17 | 壶 18 | 暇 19 | 

蚊 : 郝 0 | 筝 1 | 灸 2 | 滕 3 | 瞄 4 | 渎 5 | 讽 6 | ｗ 7 | 厌 8 | 丙 9 | 逛 10 | 琢 11 | 萝 12 | 暇 13 | 跻 14 | 簿 15 | 滇 16 | 耸 17 | 烁 18 | 缕 19 | 

赡 : 渎 0 | ｗ 1 | 滕 2 | 丙 3 | 筝 4 | 琢 5 | 郝 6 | 暇 7 | 灸 8 | 簿 9 | 瞄 10 | 耸 11 | 讽 12 | 缕 13 | 厌 14 | 矩 15 | 逛 16 | 芜 17 | 萝 18 | ｌ 19 | 

氮 : 琢 0 | 暇 1 | 丙 2 | 簿 3 | ｗ 4 | 耸 5 | 渎 6 | 缕 7 | 滕 8 | 矩 9 | 筝 10 | 芜 11 | 郝 12 | ｌ 13 | 灸 14 | 蔽 15 | 瞄 16 | 讳 17 | 讽 18 | 睐 19 | 

攒 : 耸 0 | 缕 1 | 簿 2 | 矩 3 | 暇 4 | 芜 5 | 琢 6 | ｌ 7 | 丙 8 | 蔽 9 | ｗ 10 | 讳 11 | 渎 12 | 睐 13 | 滕 14 | 腻 15 | 筝 16 | 盏 17 | 郝 18 | 睁 19 | 

榻 : 芜 0 | ｌ 1 | 矩 2 | 蔽 3 | 缕 4 | 讳 5 | 耸 6 | 睐 7 | 簿 8 | 腻 9 | 暇 10 | 盏 11 | 琢 12 | 睁 13 | 丙 14 | 冕 15 | ｗ 16 | 坠 17 | 渎 18 | 沥 19 | 

姨 : 讳 0 | 睐 1 | 蔽 2 | 腻 3 | ｌ 4 | 盏 5 | 芜 6 | 睁 7 | 矩 8 | 冕 9 | 缕 10 | 坠 11 | 耸 12 | 沥 13 | 簿 14 | 璐 15 | 暇 16 | 嗓 17 | 琢 18 | 襟 19 | 

